state,deaths
AK,2
AL,8
AR,4
AZ,25
CA,74
CO,12
CT,1
DC,1
DE,2
FL,29
GA,16
HI,4
IA,2
ID,4
IL,11
IN,8
KS,6
KY,7
LA,11
MA,5
MD,10
ME,1
MI,9
MN,6
MO,10
MS,6
MT,2
NC,10
NE,6
NH,1
NJ,11
NM,5
NV,3
NY,14
OH,10
OK,22
OR,8
PA,7
SC,9
TN,6
TX,46
UT,5
VA,9
WA,11
WI,5
WV,2
WY,1
